"שם מפלגה","מספר מפלגה","מטרות","כתובת","דואר אלקטרוני","תאריך רישום",
"גשר - בראשות אורלי לוי אבקסיס","59-900122-9","מטרות המפלגה:הקמת כוח חברתי חדש המחויב לעשייה ציבורית שוחרת טוב ולשיח ציבורי אחראי, פתוח ומכבד.5 הממי~ם - מזון, מעון, מלבוש, מורה ומרפא: עמידה על 5 הממי~ם באופן המבטיח קיום בכבוד לכלל אוכלוסיות ישראל, והבטחת חוסנה החברתי-כלכלי של החברה ואזרחיה.קידום שיח מתון בין המגזרים השונים והכלה תרבותית-חברתית של קבוצות האוכלוסיה השונות בישראל.חיזוק שלטון החוק, על מוסדותיו, שמירה על טוהר המידות ומאבק בשחיתות השלטונית.חתירה לשלום תוך עמידה על בטחונה ואופיה של מדינת ישראל כמדינתו של העם היהודי וערכיה הדמוקרטיים.צמצום אי השוויון בתקצוב שירותים חברתיים וחיזוק הפריפריה הגיאוגרפית והחברתית.מחויבות להילחם על זכות היסוד לקורת גג קבועה ויציבה לאזרחי ישראל, תוך מציאת פתרונות דיור מגוונים וראויים לאוכלוסיות השונות. מאבק על הזכות לדיור ציבורי, בניה ציבורית ושוויון ביכולת להגיע לדירה.קידום מעמדן של נשים והגדלת הייצוג הנשי במוקדי קבלת החלטות מתוך הבנה ששוויון לנשים חיוני לחוסנה הכלכלי, החברתי והפוליטי של מדינת ישראל.השקעה בחינוך ככלי לצמצום פערים חברתיים שבכוחו ליצור שוויון הזדמנויות מהותי לכלל ילדי ישראל.תיקון עיוותים בשוק העבודה, תוך קידומם וחיזוקם של העסקים הקטנים והבינוניים.המפלגה תפעל לשינוי שיטת הבחירות לכנסת לשיטת בחירות רשימתית גמישה, כך שביום הבחירות, יוכלו הבוחרים לסמן את מועמדי המפלגה המועדפים עליהם.","רחוב דרך הגליל 1, בית אבנית ת.ד. 2211 ראש פינה מיקוד 12000","idan@gesherparty.co.il","",
"דמוקראטורה – מפלגה להגשמת הציונות וערכי הדמוקראטורה","59-900104-7","מטרות המפלגה: 1.   שינוי שיטת הבחירות, בחירת ראש הממשלה, הנשיא וחברי הכנסת.2.   חוקה חדשה למדינת ישראל.3.   שינויים בכל מערכות ישראל.","רחוב חננאל 25/3 ירושלים 93310","dorsa120@walla.com","",
"דמוקרטית חירות שוויון וערבות הדדית","599001542","","נטף 33 מיקוד 90804 אצל: אוהד שפירא","udi.shapiro@gmail.com","",
"דרך ארץ","59-900152-6"," מטרות המפלגה: 1. מימוש זכותו הטבעית וההיסטורית של העם היהודי לתקומה לאומית בארץ ישראל.2. ביסוס זהותה של ישראל כמדינתו הדמוקרטית של העם היהודי, הגנה על ערכיה כמדינת הלאום של העם היהודי, המקפידה על זכויות אדם ונוהגת שוויון זכויות פרט ושוויון חובות לכל.3. מדינת ישראל תהא מדינת מופת המקיימת קוממיות ממלכתית, ומחוייבת לאמון וכבוד בין מוסדות השלטון שלה, ובינם לבין אזרחיה. 4. הבנית זהות לאומית היונקת ממסורת ישראל, ערכיו ומורשתו ההיסטורית של העם היהודי; יצירת הוויה משותפת שאינה כופה על איש לוותר על קדושיו ועיקריו, ומאפשרת פרהסיה בה נשמר כבודם של כלל מרכיבי החברה הישראלית. הכל בדרך של הדברות והסכמות.  5. אחדות העם - ביצור חוסנה של מדינת ישראל באמצעות העצמת הלכידות החברתית, שותפות הגורל ואחווה אזרחית. 6. העצמת ירכתי ארץ ופיתוח הארץ לטובת כל תושביה. עידוד ההתיישבות והחקלאות בגליל ובנגב, בשומרון וביהודה, ובשדרה המזרחית - מרמת הגולן, לאורכו של הירדן והערבה בואכה אילת. 7. מימוש ריבונות בשטחי מולדת.8. עידוד כלכלה חופשית תוך הבטחת הזדמנות הוגנת לכל ומחויבות לערבות הדדית.9. שמירת עוצמתה של ישראל, הבטחת הבטחון הלאומי וההגנה על גבולות ישראל, ועל אזרחיה.10. שמירה על יעודה של מדינת ישראל כביתו הלאומי של העם היהודי. עידוד עליה וקיבוץ גלויות, טיפוח עתיד משותף וזהות קיבוצית לעם היהודי על תפוצותיו, מתוך רצון להגשמת שאיפת הדורות לגאולת ישראל.","רחוב מאנה 11, תל אביב, אצל: צבי האוזר","hauserhendwl@gmail.com","",
"דתי לאומי ישראלי למען כלל ישראל","59-900173-2","מטרות המפלגה הן:א. קידום ערכיו ועקרונותיו של הציבור הדתי הלאומי.ב. העמקת האחדות בעם.ג. חיזוק ערכי היהדות והמסורת.ד. טיפוח הערבות ההדדית.","מען: רחוב הזיתים 94, גבעת שמואל אצל משפחת וידסלבסקי","arievidi@gmail.com","",
"האזרחים אלטרנטיבה שלטונית","59-900162-5","מטרות המפלגה:איחוי הקרעים בעם – בין העדות, הדתות, הלאומים, ימין ושמאל. המפלגה תפעל בהשראת מגילת העצמאות וערכיה, כמדינת הלאום של העם היהודי, וכמדינה דמוקרטית, הדוגלת בשוויון זכויות וחובות מלא לכל אזרחיה.העמדת רווחת האזרח וטובתו בראש סדר העדיפות השלטונית.חיזוק יסודות הדמוקרטיה על כל המשתמע מכך.קידום חוקה לישראל.קידום הקמת רשות עצמאית למיגור השחיתות.טיפוח מרכזיותה של מדינת ישראל בחיי העם היהודי ברחבי העולם, ומתן חופש פולחן דתי לכל אזרחי המדינה, בני כל הדתות. חיזוק חוסנה הכלכלי והחברתי של מדינת ישראל, תוך קידום החינוך, התרבות, הרווחה, הבריאות והצדק חברתי.פיתוח מודלים כלכליים עדכניים לרווחת האזרחים, למימוש עצמי של הצעירים בתחומי חייהם המרכזיים, ולקידום זכויות העצמאיים.הבטחת מקומם של אזרחים בוגרים, מגיל 60 ומעלה, במארג החיים החברתיים הפעילים והכלכליים ו~חיים בכבוד~ של אזרחים ותיקים, ושל ניצולי שואה.קידום זכויות שוות וייצוג שווה והוגן לנשים בכל תחומי החיים, וטיפול באלימות כלפי נשים.הבטחת נגישותה, פעילותה ומעורבותה של אוכלוסיית הנכים בישראל בחברה הישראלית וקידום זכויותיהם.שמירה על משאבי הטבע, איכות הסביבה והשפעתם על בריאות הציבור.שמירה על ביטחון המדינה ושלום אזרחיה, וחתירה לשלום עם שכנינו תוך שאיפה להסדרים דו כיוונים ודיאלוג עם מי שיכיר בקיומה של מדינת ישראל.","רחוב האשל 42, קרית אתא אצל ד~ר חדווה טרגר","חדווה טרגר: dochedva@gmail.com. יוסי לפיד: yossi.lapid@gmail.com.","",
"האחדות העממית - אלוחדה אלשעביה","59-900140-1","מטרות המפלגה: ארגון החברה הערבית, בינוי מוסדותיה וקידום מעורבותה בפתרון בעיותיה.השגת שוויון אזרחי ולאומי מלא לערבים אזרחי ישראל.גיבוש תכנית ביצועית ומקיפה למיגור הפשיעה והאלימות בחברה הבדואית.קידום פתרון צודק לסכסוך הישראלי-פלסטיני.הקמת אזורי תעסוקה ושילוב אזרחי ישראל הערבים בכלכלת ישראל."," מענה של המפלגה: ירושלים, בית חנינא ת.ד. 51502, רח' אל בלאח 7 דירה 9, אצל עו~ד וליד אבו תאיה.","mailto:abutayehlaw@gmail.com","",
"האיחוד הלאומי-תקומה","59-900037-9","מטרות המפלגה :1.לפעול לקיבוץ הגלויות בישראל ולשלבם בכלכלה ובחברה הישראלית.2.לבגביר את החינוך היהודי-ציוני, לאהבת שלמות ארץ ישראל.3.לפעול לצמצום הפערים החברתיים בישראל ולחיזוק שכבות החברה החלשות.","רחוב בית הדפוס 12, אגף B, קומה 5, ירושלים 9548315. איש קשר: ברק קרוננפלד 052-956-5311.","haleumi10@gmail.com","",
"האמונה – בראשות יצחק זאגא","59-9001146        ","מטרות המפלגה:       (1) חינוך לאמונה וטוהר המידות בכל המערכות במדינת ישראל.(2) חינוך לאהבת התורה, העם והארץ לאחדות והעמקת השיח הציבורי.(3) יישובם ופיתוחם של כל חלקי ארץ ישראל והחלת ריבונות ישראלית עליהם.(4) חתירה לצמיחה כוללנית ורווחה כלכלית של ממש לכלל האוכלוסייה. ","רחוב יפה נוף 69, פדואל 7194000, אצל: עו~ד יצחק זאגא.","haemuna101@gmail.com","",
"הבית היהודי, מיסודה של המפד~ל – המפלגה הדתית לאומית המזרחי הפועל המזרחי בארץ ישראל","59-900008-0","מטרות המפלגה :1.לבנות את מדינת ישראל, לבצר את קיומה ולפתחה מבחינה דתית, תרבותית, בטחונית, כלכלית וחברתית.2.לטפח אהבת ישראל, נאמנות למדינה ואהבת המולדת.3.להקים חברה מושתת על יסודותיה הרוחניים-חברתיים-הלכתיים של תורת ישראל כמסר למשטר של תורה ועבודה במדינה.4.לפעול למען חקיקה מקורית במדינה, מושתת על משפט התורה ומסורת ישראל.5.להשתית את המשטר במדינה על אדני הצדק והשויון לכל אזרח ומעמד, לייצב משטר כלכלי מתוך ראייה כוללת של צרכי המשק במדינה, הדואג לקליטת העליה, לפיתוח הסקטור הפרטי, וקידומם לטובת המדינה ואזרחיה.6.לפעול למען חינוך על ידי המדינה לכל דורש. לטפל מפעלי חינוך דתיים ותורניים על סוגיהם ומגמותיהם.7.לפעול להחדרת ערכי היהדות בקרב כל שכבות העם לקירובו לאורח חיים יהודי.8.לעמוד לימין האדם העמל והעובד, הותיק והעולה החדש, ללא הבדל עדה ומוצא, להגן על ענייניו הצודקים וללחום למען חקיקה סוציאלית המבטיחה לו תנאי חיים הוגנים.9.לשמור על ציביונה הדתי של המדינה ולהבטיח את כל השרותים הדתיים לציבור וליחיד באמצעות המוסדות הממלכתיים, המקומיים, הציבוריים והאחרים שבמדינה.","רחוב העבודה 11, ראש העין 4801761.","","",
